id_operacion;id;no, fmi;dirección territorial;municipio;fecha_envio_juridico;folio_matriz;novedadfmi_tipo;npnmatriz;novedad_numero_predial;folio_derivados;predio tipo;condicion prop derivado;área registral m2;coeficiente;área coefieciente
1533116;561;561;BOYACÁ;MONIQUIRA;29/09/2025;083-38978;;1,5469E+29;Cancelacion_por_Desenglobe;;;;;;
1534111;541;541;BOYACÁ;MONIQUIRA;29/09/2025;083-26144;;1,5469E+29;Cancelacion_por_Desenglobe;;;;;;
1534506;555;555;BOYACÁ;MONIQUIRA;29/09/2025;083-28801;;1,5469E+29;Cancelacion_por_Desenglobe;;;;;;
1534630;598;598;BOYACÁ;MONIQUIRA;29/09/2025;083-44153;;1,5469E+29;Cancelacion_por_Desenglobe;;;;;;
1536721;611;611;BOYACÁ;MONIQUIRA;29/09/2025;083-16752;;1,5469E+29;Cancelacion_por_Desenglobe;;;;;;
1537401;602;602;BOYACÁ;MONIQUIRA;29/09/2025;083-250;;1,5469E+29;Cancelacion_por_Desenglobe;;;;;;
1539678;565;565;BOYACÁ;MONIQUIRA;29/09/2025;083-31330;;1,5469E+29;Cancelacion_por_Desenglobe;;;;;;
1539704;568;568;BOYACÁ;MONIQUIRA;29/09/2025;083-21905;;1,5469E+29;Cancelacion_por_Desenglobe;;;;;;
1542031;608;608;BOYACÁ;MONIQUIRA;29/09/2025;083-17618;;1,5469E+29;Cancelacion_por_Desenglobe;;;;;;
1542651;573;573;BOYACÁ;MONIQUIRA;29/09/2025;083-31554;;1,5469E+29;Cancelacion_por_Desenglobe;;;;;;
1542694;594;594;BOYACÁ;MONIQUIRA;29/09/2025;083-22186;;1,5469E+29;Cancelacion_por_Desenglobe;;;;;;
1543632;587;587;BOYACÁ;MONIQUIRA;29/09/2025;083-16894;;1,5469E+29;Cancelacion_por_Desenglobe;;;;;;
1642789;5;5;BOYACÁ;RAMIRIQUÍ;29/09/2025;090-24351;;1,5599E+29;Cancelacion_por_Englobe;;;;;;
1642790;8;8;BOYACÁ;RAMIRIQUÍ;29/09/2025;090-24352;;1,5599E+29;Cancelacion_por_Englobe;;;;;;
1642790;7;7;BOYACÁ;RAMIRIQUÍ;29/09/2025;090-24352;;1,5599E+29;Cancelacion_por_Englobe;;;;;;
1646465;34;34;BOYACÁ;RAMIRIQUÍ;29/09/2025;090-28909;FMI_Debe_Estar_Cerrado;1,5599E+29;Cancelacion_por_Desenglobe;;;;;;
1646567;55;55;BOYACÁ;RAMIRIQUÍ;29/09/2025;090-9513;FMI_Debe_Estar_Cerrado;1,5599E+29;Cancelacion_por_Desenglobe;;;;;;
1646576;49;49;BOYACÁ;RAMIRIQUÍ;29/09/2025;090-37800;FMI_Debe_Estar_Cerrado;1,5599E+29;Cancelacion_por_Desenglobe;;;;;;
1781448;373;373;BOYACÁ;SOGAMOSO;29/09/2025;095-124961;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-124961;Privado_Privado;PH_Matriz;94.9;;
1781605;261;261;BOYACÁ;SOGAMOSO;29/09/2025;095-145240;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-145240;Privado_Privado;PH_Matriz;258.3;;
1781852;394;394;BOYACÁ;SOGAMOSO;29/09/2025;095-2321;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-2321;Privado_Privado;PH_Matriz;308;;
1782711;296;296;BOYACÁ;SOGAMOSO;29/09/2025;095-18579;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-18579;Privado_Privado;PH_Matriz;15.330.000.000.000.000;;
1783501;267;267;BOYACÁ;SOGAMOSO;29/09/2025;095-152005;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-152005;Privado_Privado;PH_Matriz;103;;
1783729;378;378;BOYACÁ;SOGAMOSO;29/09/2025;095-130723;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-130723;Privado_Privado;PH_Matriz;171;;
1784992;126;126;BOYACÁ;SOGAMOSO;29/09/2025;095-1755;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-1755;Privado_Privado;PH_Matriz;237;;
1786372;85;85;BOYACÁ;SOGAMOSO;29/09/2025;095-103915;;1,5759E+29;Cancelacion_por_Desenglobe;;;;;;
1786567;180;180;BOYACÁ;SOGAMOSO;29/09/2025;095-2289;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-2289;Privado_Privado;PH_Matriz;203;;
1787898;134;134;BOYACÁ;SOGAMOSO;29/09/2025;095-44076;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-44076;Privado_Privado;PH_Matriz;209;;
1792583;343;343;BOYACÁ;SOGAMOSO;29/09/2025;095-106021;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-106021;Privado_Privado;PH_Matriz;200;;
1793681;166;166;BOYACÁ;SOGAMOSO;29/09/2025;095-101005;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-101005;Privado_Privado;PH_Matriz;95.15;;
1795268;304;304;BOYACÁ;SOGAMOSO;29/09/2025;095-79494;;1,5759E+29;Cancelacion_por_Desenglobe;;;;;;
1796777;145;145;BOYACÁ;SOGAMOSO;29/09/2025;095-89523;;1,5759E+29;Cancelacion_por_Englobe;;;;;;
1796778;146;146;BOYACÁ;SOGAMOSO;29/09/2025;095-89524;;1,5759E+29;Cancelacion_por_Englobe;;;;;;
1796779;147;147;BOYACÁ;SOGAMOSO;29/09/2025;095-89522;;1,5759E+29;Cancelacion_por_Englobe;;;;;;
1797428;353;353;BOYACÁ;SOGAMOSO;29/09/2025;095-110674;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-110674;Privado_Privado;PH_Matriz;325;;
1798701;256;256;BOYACÁ;SOGAMOSO;29/09/2025;095-133439;;1,5759E+29;Cancelacion_por_Desenglobe;;;;;;
1798753;321;321;BOYACÁ;SOGAMOSO;29/09/2025;095-81778;;1,5759E+29;Cambio_Numero_Predial_NPH_a_PH;095-81778;Privado_Privado;PH_Matriz;124;;
