"globalid";"altura";"anio_construccion";"area_construccion";"area_privada_construida";"etiqueta";"id_caracteristicasunidadconstru";"id_operacion_predio";"planta_ubicacion";"tipo_planta";"caracteristicasuc_guid";"codigo";"identificador";"observaciones"
{F7EEAC21-26D3-4C43-956A-F573BE78AE39};2;2019,0000;18,1640;;"";Dummy;"6029550";1;Piso;{50DDC079-395A-4172-BFC5-736FA6A8DA7C};"634010001000000060123000000000";A;update_Caso 12
{F7EEF5D0-EF90-4788-8BC0-AD49D9492AA2};2;2006,0000;18,0000;;B;"21043910";"6034082";1;Piso;{7D48637B-BECF-470A-B252-AAB222BBD6E8};"634010100000002290024000000000";B;update_Caso 1
{F7F00A92-2D49-41CC-A3C8-22F467F8EAB0};2;2010,0000;72,0000;;A;"5121063";"6037454";1;Piso;{9A234A54-8FCE-403E-83A1-BF66C066B463};"634010100000004210012000000000";A;update_Caso 1
{F7F0BE0E-69DC-4E13-9C63-A6F7E2A54FD0};2;2010,0000;72,0000;;A;"5120923";"6037314";1;Piso;{A7C0B5C4-6E79-4285-A71A-B694DA62C8D1};"634010100000004140012000000000";A;update_Caso 1
{F7F87601-E2A9-46A2-9DF4-7E34FE694D43};2;2021,0000;100,8000;;A;"21039910";"6038567";1;Piso;{8A4A5AC6-5893-4C1B-A02B-DBED513696FB};"634010100000005230020000000000";A;update_Caso 5
{F7FA46BA-AA00-436C-9CED-459ADC930BDB};2;2019,0000;57,3880;;"";Dummy;"12536261";1;Piso;{768C9D24-A0A5-4CFA-AD4A-73D1CE63AFEC};"634010001000000040814000000000";D;update_Caso 12
{F7FD5AF3-BFE9-442D-AE84-588B45D1824C};2;2000,0000;42,5500;;A;"21032692";"6031139";1;Piso;{95C20446-15FB-41EF-8B99-578AEB592BDF};"634010100000000480002000000000";A;update_Caso 1
{F7FD70D1-1CD6-413F-B8E6-791BBF260589};2;2010,0000;60,0000;;A;"5118577";"6034686";1;Piso;{F05619DC-30F1-4CEA-8065-34DD2D3AB418};"634010100000002820029000000000";A;update_Caso 1
{F7FE2D42-F1C7-409C-A72B-1E03D3019C95};2;2000,0000;57,3000;;B;"21040539";"6037648";1;Piso;{3DA3A532-B162-4020-8854-66AD531BCFDD};"634010100000004430004000000000";B;update_Caso 5
{F7FFF34A-AC90-4397-8DDD-BDCE0D70C12B};2;2019,0000;18,4870;;"";Dummy;"6029559";1;Piso;{BD8AA10E-E6DC-44D2-8CE5-4D49FE2B6EC5};"634010001000000060132000000000";A;update_Caso 12
{F804C24A-3233-4757-9E5B-2420810366E1};2;2000,0000;127,5000;;B;"21035904";"6030046";1;Piso;{7E795461-67ED-4F3F-A38B-76A56E3C34D7};"634010100000000130010000000000";B;update_Caso 1
{F80B6D73-44EC-45A2-A915-C6904C7929DE};2;2010,0000;124,8000;;A;"5119727";"6036071";1;Piso;{D5E22A7F-A353-42E2-860E-8EEE352FBA6A};"634010100000003270007000000000";A;update_Caso 5
{F80E1601-E489-443C-BDAE-AD59965C8E27};2;2000,0000;51,3000;;A;"5118764";"6034912";1;Piso;{E1B50FA3-EF3E-4FE2-B804-518431F651D8};"634010100000002890007000000000";A;update_Caso 1
{F80E7EFA-DF6D-498E-969E-8D300DD589BD};2;2010,0000;54,0000;;C;"5110355";"6028034";1;Piso;{D81AF1AB-7FEF-4080-A860-B7FF709D50CB};"634010001000000010034000000000";C;update_Caso 4
