"left";"tipo_anexo";"count"
"66687";Tanques_Tipo_20;99
"66383";Silos_Tipo_80;1
"68861";Piscinas_Tipo_50;3
"23555";Galpones_Gallineros_Tipo_20;3
"15842";Marquesinas_Tipo_60;2
"15686";Establos_Pesebreras_Tipo_80;1
"23079";Kioskos_Tipo_80;11
"25183";Kioskos_Tipo_60;10
"15759";Marquesinas_Tipo_20;39
"68573";Corrales_Tipo_60;7
"23079";Galpones_Gallineros_Tipo_40;2
"25295";Establos_Pesebreras_Tipo_40;6
"15299";Piscinas_Tipo_40;1
"23079";Establos_Pesebreras_Tipo_60;37
"15599";Establos_Pesebreras_Tipo_40;5
"23350";Kioskos_Tipo_20;34
"13836";Corrales_Tipo_40;70
"66687";Establos_Pesebreras_Tipo_80;4
"68573";Tanques_Tipo_60;1
"68745";Establos_Pesebreras_Tipo_80;2
"13836";Piscinas_Tipo_60;46
"50313";Tanques_Tipo_80;4
"23555";Kioskos_Tipo_20;46
"15804";Marquesinas_Tipo_40;15
"15299";Establos_Pesebreras_Tipo_20;1
"70124";Corrales_Tipo_40;59
"15842";Marquesinas_Tipo_80;2
"08832";Kioskos_Tipo_60;59
"23555";Cocheras_Marraneras_Porquerizas_Tipo_60;1
"15599";Marquesinas_Tipo_20;1
"63401";Marquesinas_Tipo_60;76
"25183";Piscinas_Tipo_40;5
"25295";Marquesinas_Tipo_80;22
"50313";Piscinas_Tipo_80;3
"25772";Galpones_Gallineros_Tipo_80;3
"08832";Corrales_Tipo_60;7
"23570";Cocheras_Marraneras_Porquerizas_Tipo_20;4
"50313";Establos_Pesebreras_Tipo_20;3
"15299";Tanques_Tipo_60;1
"15664";Piscinas_Tipo_40;1
"15835";Kioskos_Tipo_20;1
"25183";Kioskos_Tipo_40;14
"68101";Establos_Pesebreras_Tipo_60;6
"25001";Galpones_Gallineros_Tipo_80;2
"15759";Piscinas_Tipo_50;1
"66045";Secaderos_Tipo_40;455
"68101";Kioskos_Tipo_40;1
"66318";Marquesinas_Tipo_80;1
"66318";Secaderos_Tipo_40;286
"08832";Establos_Pesebreras_Tipo_40;8
"15761";Marquesinas_Tipo_60;1
"15798";Establos_Pesebreras_Tipo_20;1
"66045";Beneficiaderos_Tipo_80;16
"23675";Kioskos_Tipo_20;59
"15764";Establos_Pesebreras_Tipo_20;2
"15804";Establos_Pesebreras_Tipo_20;2
"66318";Cocheras_Marraneras_Porquerizas_Tipo_40;20
"25772";Piscinas_Tipo_60;1
"15469";Secaderos_Tipo_60;1
"68745";Corrales_Tipo_80;8
"15804";Marquesinas_Tipo_60;5
"15761";Galpones_Gallineros_Tipo_60;3
"15835";Cocheras_Marraneras_Porquerizas_Tipo_20;9
"23555";Piscinas_Tipo_50;7
"68573";Cocheras_Marraneras_Porquerizas_Tipo_80;1
"23570";Corrales_Tipo_20;144
"68573";Cocheras_Marraneras_Porquerizas_Tipo_20;3
"66318";Tanques_Tipo_40;8
"15469";Piscinas_Tipo_40;19
"15861";Marquesinas_Tipo_80;3
"23570";Kioskos_Tipo_60;16
"15664";Kioskos_Tipo_40;8
"66687";Marquesinas_Tipo_60;1
"23675";Tanques_Tipo_60;4
"63401";Establos_Pesebreras_Tipo_60;44
"23555";Piscinas_Tipo_80;2
"66045";Secaderos_Tipo_60;87
"23675";Corrales_Tipo_20;94
"63401";Marquesinas_Tipo_40;96
"15804";Galpones_Gallineros_Tipo_60;3
"15469";Cocheras_Marraneras_Porquerizas_Tipo_40;18
"66318";Piscinas_Tipo_40;1
"15325";Tanques_Tipo_60;1
"25772";Establos_Pesebreras_Tipo_60;28
"68573";Kioskos_Tipo_20;14
"23570";Tanques_Tipo_40;8
"23555";Establos_Pesebreras_Tipo_80;6
"13836";Galpones_Gallineros_Tipo_40;19
"66687";Secaderos_Tipo_60;144
"13836";Galpones_Gallineros_Tipo_60;5
"66687";Cocheras_Marraneras_Porquerizas_Tipo_20;12
"15761";Galpones_Gallineros_Tipo_40;5
"15599";Corrales_Tipo_60;2
"66383";Secaderos_Tipo_80;13
"15759";Marquesinas_Tipo_40;1953
"25183";Cocheras_Marraneras_Porquerizas_Tipo_80;3
"66045";Establos_Pesebreras_Tipo_60;3
"66318";Beneficiaderos_Tipo_60;76
"08832";Corrales_Tipo_20;11
"15761";Establos_Pesebreras_Tipo_20;2
"25183";Tanques_Tipo_80;1
"15469";Marquesinas_Tipo_40;49
"23675";Kioskos_Tipo_60;41
"68101";Establos_Pesebreras_Tipo_20;1
"13430";Corrales_Tipo_20;55
"68861";Corrales_Tipo_40;3
"15798";Marquesinas_Tipo_40;1
"66687";Corrales_Tipo_40;3
"23675";Piscinas_Tipo_40;1
"15325";Corrales_Tipo_60;1
"15759";Marquesinas_Tipo_80;83
"66045";Tanques_Tipo_80;4
"15835";Establos_Pesebreras_Tipo_60;3
"66318";Corrales_Tipo_80;1
"13430";Kioskos_Tipo_80;9
"66687";Galpones_Gallineros_Tipo_20;14
"63401";Beneficiaderos_Tipo_80;4
"13836";Establos_Pesebreras_Tipo_80;6
"66383";Establos_Pesebreras_Tipo_40;6
"15764";Establos_Pesebreras_Tipo_60;3
"25295";Tanques_Tipo_80;1
"70124";Establos_Pesebreras_Tipo_40;4
"15469";Marquesinas_Tipo_20;2
"15759";Carreteras_Tipo_60;1
"25001";Galpones_Gallineros_Tipo_60;3
"13836";Piscinas_Tipo_80;9
"15325";Piscinas_Tipo_80;1
"66318";Galpones_Gallineros_Tipo_20;1
"15759";Kioskos_Tipo_60;2
"66687";Kioskos_Tipo_60;3
"08832";Tanques_Tipo_80;2
"66687";Cocheras_Marraneras_Porquerizas_Tipo_40;55
"13430";Silos_Tipo_60;8
"63401";Secaderos_Tipo_60;23
"25772";Kioskos_Tipo_60;13
"68861";Cocheras_Marraneras_Porquerizas_Tipo_60;1
"66687";Galpones_Gallineros_Tipo_40;6
"15664";Kioskos_Tipo_60;3
"70124";Corrales_Tipo_20;10
"66045";Cocheras_Marraneras_Porquerizas_Tipo_40;15
"15664";Piscinas_Tipo_60;5
"66687";Cimientos_Estructura_Muros_Placabase_Tipo_40;1
"15469";Establos_Pesebreras_Tipo_60;27
"15861";Marquesinas_Tipo_20;1
"66318";Kioskos_Tipo_60;1
"23555";Corrales_Tipo_20;114
"68861";Beneficiaderos_Tipo_40;2
"66687";Tanques_Tipo_40;99
"15764";Establos_Pesebreras_Tipo_40;4
"63401";Marquesinas_Tipo_80;15
"15469";Tanques_Tipo_60;3
"15759";Tanques_Tipo_60;1
"15759";Tanques_Tipo_40;6
"66687";Beneficiaderos_Tipo_80;19
"23350";Tanques_Tipo_40;4
"23350";Corrales_Tipo_40;32
