"left";"tipo_anexo";"count"
"66318";Beneficiaderos_Tipo_40;265
"66687";Cocheras_Marraneras_Porquerizas_Tipo_60;19
"25295";Establos_Pesebreras_Tipo_20;8
"15469";Beneficiaderos_Tipo_40;34
"50313";Establos_Pesebreras_Tipo_40;21
"15816";Establos_Pesebreras_Tipo_60;1
"25295";Marquesinas_Tipo_20;20
"68861";Piscinas_Tipo_40;2
"66383";Galpones_Gallineros_Tipo_40;12
"13430";TorresEnfriamiento_Tipo_60;1
"13430";Tanques_Tipo_80;3
"50313";Piscinas_Tipo_60;7
"08832";Toboganes_Tipo_80;1
"23570";Piscinas_Tipo_40;2
"15835";Marquesinas_Tipo_80;3
"23570";Establos_Pesebreras_Tipo_40;129
"23570";Galpones_Gallineros_Tipo_80;1
"13430";Establos_Pesebreras_Tipo_60;9
"23079";Corrales_Tipo_20;41
"15686";Establos_Pesebreras_Tipo_60;3
"15798";Establos_Pesebreras_Tipo_60;1
"25183";Corrales_Tipo_20;1
"15293";Tanques_Tipo_20;1
"25295";Cocheras_Marraneras_Porquerizas_Tipo_60;2
"68861";Tanques_Tipo_60;1
"25001";Corrales_Tipo_60;1
"50313";Piscinas_Tipo_50;19
"66687";Piscinas_Tipo_80;1
"70124";Corrales_Tipo_60;12
"25295";Marquesinas_Tipo_40;188
"25772";Establos_Pesebreras_Tipo_80;4
"50313";Establos_Pesebreras_Tipo_80;3
"68745";Marquesinas_Tipo_60;1
"66383";Cocheras_Marraneras_Porquerizas_Tipo_40;1
"13430";Cocheras_Marraneras_Porquerizas_Tipo_40;7
"23079";Corrales_Tipo_60;78
"68573";Corrales_Tipo_40;27
"68573";Kioskos_Tipo_80;1
"68745";Galpones_Gallineros_Tipo_40;2
"25001";Galpones_Gallineros_Tipo_20;7
"25001";Marquesinas_Tipo_20;13
"25295";Tanques_Tipo_40;3
"13430";Corrales_Tipo_60;7
"23570";Establos_Pesebreras_Tipo_60;16
"15599";Tanques_Tipo_20;1
"68101";Galpones_Gallineros_Tipo_40;1
"25772";Marquesinas_Tipo_60;103
"25183";Marquesinas_Tipo_60;147
"08832";Cocheras_Marraneras_Porquerizas_Tipo_20;1
"23675";Tanques_Tipo_80;1
"23555";Albercas_Baniaderas_Tipo_60;1
"08832";Pozos_Tipo_60;12
"15299";Galpones_Gallineros_Tipo_60;2
"66383";Cocheras_Marraneras_Porquerizas_Tipo_60;13
"15759";Piscinas_Tipo_60;4
"25772";Galpones_Gallineros_Tipo_40;10
"68573";Establos_Pesebreras_Tipo_20;6
"25295";Galpones_Gallineros_Tipo_20;12
"66318";Galpones_Gallineros_Tipo_60;2
"25772";Cocheras_Marraneras_Porquerizas_Tipo_20;3
"13430";Kioskos_Tipo_40;171
"13430";Establos_Pesebreras_Tipo_40;57
"13430";Pozos_Tipo_60;1
"25295";Tanques_Tipo_60;4
"15325";Tanques_Tipo_40;2
"25295";Kioskos_Tipo_20;4
"15798";Tanques_Tipo_40;2
"50313";Corrales_Tipo_40;62
"15798";Kioskos_Tipo_60;2
"50313";Kioskos_Tipo_20;2
"66687";Piscinas_Tipo_60;5
"63401";Galpones_Gallineros_Tipo_40;31
"70124";Establos_Pesebreras_Tipo_20;1
"15861";Marquesinas_Tipo_40;79
"23675";Kioskos_Tipo_80;4
"25772";Galpones_Gallineros_Tipo_20;2
"63401";Cocheras_Marraneras_Porquerizas_Tipo_20;1
"63401";Tanques_Tipo_60;20
"15816";Marquesinas_Tipo_60;1
"25001";Establos_Pesebreras_Tipo_60;20
"15759";Cocheras_Marraneras_Porquerizas_Tipo_60;4
"23675";Cocheras_Marraneras_Porquerizas_Tipo_60;1
"25183";Cocheras_Marraneras_Porquerizas_Tipo_40;20
"15804";Cocheras_Marraneras_Porquerizas_Tipo_20;1
"63401";Cocheras_Marraneras_Porquerizas_Tipo_40;13
"23079";Piscinas_Tipo_40;4
"15759";Kioskos_Tipo_40;11
"15764";Establos_Pesebreras_Tipo_80;1
"50313";Secaderos_Tipo_40;2
"25295";Galpones_Gallineros_Tipo_40;13
"15469";Cocheras_Marraneras_Porquerizas_Tipo_60;10
"23079";Albercas_Baniaderas_Tipo_40;1
"08832";Galpones_Gallineros_Tipo_60;1
"23350";Secaderos_Tipo_40;1
"15469";Galpones_Gallineros_Tipo_60;12
"15599";Corrales_Tipo_40;3
"23555";Corrales_Tipo_40;398
"63401";Piscinas_Tipo_60;4
"23555";Corrales_Tipo_80;22
"63401";Cimientos_Estructura_Muros_Placabase_Tipo_40;5
"15804";Cocheras_Marraneras_Porquerizas_Tipo_60;18
"25001";Kioskos_Tipo_60;29
"25772";Marquesinas_Tipo_40;419
"15325";Cocheras_Marraneras_Porquerizas_Tipo_60;1
"15599";Pozos_Tipo_40;1
"50313";Corrales_Tipo_20;3
"25183";Galpones_Gallineros_Tipo_80;3
"66687";Tanques_Tipo_60;15
"15469";Piscinas_Tipo_80;1
"63401";Galpones_Gallineros_Tipo_60;11
"23350";Tanques_Tipo_60;2
"15759";Silos_Tipo_80;1
"15804";Kioskos_Tipo_40;2
"25772";Tanques_Tipo_20;1
"13430";Tanques_Tipo_60;4
"50313";Tanques_Tipo_40;7
"66045";Tanques_Tipo_60;14
"15759";Kioskos_Tipo_20;1
"63401";Beneficiaderos_Tipo_40;7
"15798";Kioskos_Tipo_80;2
"66318";Cocheras_Marraneras_Porquerizas_Tipo_20;5
"23079";Kioskos_Tipo_20;74
"15761";Cocheras_Marraneras_Porquerizas_Tipo_40;3
"25001";Tanques_Tipo_20;1
"08832";Beneficiaderos_Tipo_40;3
"25295";Marquesinas_Tipo_60;278
"23079";Cocheras_Marraneras_Porquerizas_Tipo_60;2
"66687";Cocheras_Marraneras_Porquerizas_Tipo_80;2
"15325";Marquesinas_Tipo_40;57
"66383";Piscinas_Tipo_40;1
"66318";Kioskos_Tipo_20;1
"66383";Galpones_Gallineros_Tipo_80;5
"68861";Galpones_Gallineros_Tipo_40;5
"25295";Kioskos_Tipo_80;10
"15599";Tanques_Tipo_80;1
"15798";Galpones_Gallineros_Tipo_40;8
"13836";Establos_Pesebreras_Tipo_60;35
"25772";Establos_Pesebreras_Tipo_20;8
"23350";Kioskos_Tipo_60;3
"15835";Marquesinas_Tipo_40;30
"15325";Cocheras_Marraneras_Porquerizas_Tipo_40;6
"25183";Marquesinas_Tipo_80;4
"68745";Tanques_Tipo_80;1
"23079";Tanques_Tipo_80;1
"66687";Galpones_Gallineros_Tipo_60;3
"15469";Toboganes_Tipo_60;3
"15599";Marquesinas_Tipo_40;14
"13836";Establos_Pesebreras_Tipo_40;41
"50313";Galpones_Gallineros_Tipo_40;24
"15835";Establos_Pesebreras_Tipo_20;1
"25295";Establos_Pesebreras_Tipo_80;8
"15759";Corrales_Tipo_40;1
"63401";Establos_Pesebreras_Tipo_40;23
"15759";Galpones_Gallineros_Tipo_60;11
"25295";Cocheras_Marraneras_Porquerizas_Tipo_40;4
"08832";Establos_Pesebreras_Tipo_60;5
"66383";Tanques_Tipo_40;15
"25772";Kioskos_Tipo_80;6
"23675";Corrales_Tipo_40;88
"66318";Corrales_Tipo_60;2
"15835";Galpones_Gallineros_Tipo_40;12
"66383";Galpones_Gallineros_Tipo_60;6
"68179";Piscinas_Tipo_40;1
"66383";Beneficiaderos_Tipo_80;16
"25295";Cimientos_Estructura_Muros_Placabase_Tipo_80;4
"66318";Piscinas_Tipo_50;1
"15759";Establos_Pesebreras_Tipo_60;3
"66045";Beneficiaderos_Tipo_40;495
"66318";Cimientos_Estructura_Muros_Placabase_Tipo_40;1
"66045";Corrales_Tipo_40;1
"15759";Tanques_Tipo_80;3
"23570";Establos_Pesebreras_Tipo_80;3
"66687";Establos_Pesebreras_Tipo_40;58
"08832";Kioskos_Tipo_40;381
"15469";Kioskos_Tipo_60;36
"15299";Establos_Pesebreras_Tipo_40;2
"13836";Piscinas_Tipo_40;39
"15861";Marquesinas_Tipo_60;127
"08832";Beneficiaderos_Tipo_60;7
"15835";Cocheras_Marraneras_Porquerizas_Tipo_60;5
"15686";Marquesinas_Tipo_40;1
"68673";Establos_Pesebreras_Tipo_60;1
"23555";Cocheras_Marraneras_Porquerizas_Tipo_40;9
"66687";Marquesinas_Tipo_20;1
"08832";Cocheras_Marraneras_Porquerizas_Tipo_40;3
"68573";Establos_Pesebreras_Tipo_60;5
"70124";Kioskos_Tipo_60;1
"63401";Pozos_Tipo_40;4
"08832";Piscinas_Tipo_40;19
"25772";Corrales_Tipo_40;1
"13836";Corrales_Tipo_20;8
"13430";Establos_Pesebreras_Tipo_20;3
"13836";Kioskos_Tipo_80;55
"13430";Kioskos_Tipo_20;13
"68573";Cocheras_Marraneras_Porquerizas_Tipo_40;4
"23570";Tanques_Tipo_80;1
"66045";Corrales_Tipo_60;1
"25183";Cocheras_Marraneras_Porquerizas_Tipo_20;2
"15759";Kioskos_Tipo_80;2
"66045";Galpones_Gallineros_Tipo_20;7
"23555";Tanques_Tipo_60;9
"66045";Establos_Pesebreras_Tipo_80;2
"25001";Piscinas_Tipo_60;13
"08832";Albercas_Baniaderas_Tipo_60;27
"70124";Galpones_Gallineros_Tipo_60;1
"15861";Corrales_Tipo_60;1
"50313";Galpones_Gallineros_Tipo_20;1
"15804";Tanques_Tipo_40;1
"15816";Piscinas_Tipo_40;1
"15879";Cocheras_Marraneras_Porquerizas_Tipo_40;1
"23675";Establos_Pesebreras_Tipo_20;2
"23079";Piscinas_Tipo_50;28
"15664";Marquesinas_Tipo_60;2
