"objectid";"id_operacion";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"folio_matriz";"divipola";"vereda";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"área registral m2";"coeficiente";"área coefieciente"
1649456;L11_210;210;210;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6395";"13430";"13430010200000354";;"134300102000003540001000000000";Desenglobe_Venta_Parcial;"064-34831";Privado_Privado;NPH;;;
1649463;L11_203;203;203;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6395";"13430";"13430010200000354";;"134300102000003540001000000000";Desenglobe_Venta_Parcial;"064-34832";Privado_Privado;NPH;;;
1649476;L11_190;190;190;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6395";"13430";"13430010200000354";;"134300102000003540001000000000";Desenglobe_Venta_Parcial;"064-34833";Privado_Privado;NPH;;;
1649470;L11_196;196;196;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6395";"13430";"13430010200000354";;"134300102000003540001000000000";Desenglobe_Venta_Parcial;"064-34834";Privado_Privado;NPH;;;
1649467;L11_199;199;199;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6395";"13430";"13430010200000354";;"134300102000003540001000000000";Desenglobe_Venta_Parcial;"064-34835";Privado_Privado;NPH;;;
1649468;L11_198;198;198;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6395";"13430";"13430010200000354";;"134300102000003540001000000000";Desenglobe_Venta_Parcial;"064-34836";Privado_Privado;NPH;;;
1649475;L11_191;191;191;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6395";"13430";"13430010200000354";;"134300102000003540001000000000";Desenglobe_Venta_Parcial;"064-34837";Privado_Privado;NPH;;;
1649471;L11_195;195;195;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6395";"13430";"13430010200000354";;"134300102000003540001000000000";Desenglobe_Venta_Parcial;"064-34838";Privado_Privado;NPH;;;
1649460;L11_206;206;206;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6395";"13430";"13430010200000354";;"134300102000003540001000000000";Desenglobe_Venta_Parcial;"064-34839";Privado_Privado;NPH;;;
1649458;L11_208;208;208;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6395";"13430";"13430010200000354";;"134300102000003540001000000000";Desenglobe_Venta_Parcial;"064-34840";Privado_Privado;NPH;;;
1649474;L11_192;192;192;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6395";"13430";"13430010200000354";;"134300102000003540001000000000";Desenglobe_Venta_Parcial;"064-34841";Privado_Privado;NPH;;;
1649462;L11_204;204;204;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6395";"13430";"13430010200000354";;"134300102000003540001000000000";Desenglobe_Venta_Parcial;"064-34842";Privado_Privado;NPH;;;
1649466;L11_200;200;200;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6395";"13430";"13430010200000354";;"134300102000003540001000000000";Desenglobe_Venta_Parcial;"064-34843";Privado_Privado;NPH;;;
1649465;L11_201;201;201;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6395";"13430";"13430010200000354";;"134300102000003540001000000000";Desenglobe_Venta_Parcial;"064-34844";Privado_Privado;NPH;;;
1649469;L11_197;197;197;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6395";"13430";"13430010200000354";;"134300102000003540001000000000";Desenglobe_Venta_Parcial;"064-34845";Privado_Privado;NPH;;;
1649472;L11_194;194;194;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6395";"13430";"13430010200000354";;"134300102000003540001000000000";Desenglobe_Venta_Parcial;"064-34846";Privado_Privado;NPH;;;
1649464;L11_202;202;202;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6395";"13430";"13430010200000354";;"134300102000003540001000000000";Desenglobe_Venta_Parcial;"064-34847";Privado_Privado;NPH;;;
1649473;L11_193;193;193;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6395";"13430";"13430010200000354";;"134300102000003540001000000000";Desenglobe_Venta_Parcial;"064-34848";Privado_Privado;NPH;;;
