"objectid";"id_operacion";"codigo_orip";"matricula_inmobiliaria";"area_catastral_terreno";"numero_predial_nacional";"tipo";"condicion_predio";"destinacion_economica";"area_registral_m2";"tipo_referencia_fmi_antiguo";"coeficiente";"area_coeficiente";"globalid";"predioinformal_guid";"municipio";"referencia_registral";"gdb_geomattr_data";"shape"
1390556;"1543794";"083";"28343";105,00000000;"154690100000001050046000000000";Privado;NPH;Habitacional;;;;;{07AA3C18-6D35-4A93-986E-B5CCFEC66234};{00000000-0000-0000-0000-000000000000};;;;POINT (4936942,720549328 2206871,466603119)
1436230;"1543804";"083";"28353";105,00000000;"154690100000001050056000000000";Privado;NPH;Habitacional;;;;;{724A0485-FF39-4EFC-87CE-C370F95276DE};{00000000-0000-0000-0000-000000000000};;;;POINT (4936997,132050875 2206917,3305894956)
1143677;"1543811";"083";"9964";140,00000000;"154690100000001060006000000000";Privado;NPH;Habitacional;;;;;{1FBDDBC9-78C7-49A3-AB1D-EACADF9B05BA};{00000000-0000-0000-0000-000000000000};;;;POINT (4936572,285628421 2207072,126934449)
1532673;"1544417";"083";"27305";90,00000000;"154690100000001500004000000000";Privado;NPH;Habitacional;;;;;{07C99E76-6203-483B-B996-34552C3F5204};{00000000-0000-0000-0000-000000000000};;;;POINT (4936903,386513111 2207109,3845996032)
1175416;"1544440";"083";"27324";90,00000000;"154690100000001510015000000000";Privado;NPH;Lote_Urbanizable_No_Construido;;;;;{CAF223D7-4179-49D5-8FD8-BCA2072FCF96};{00000000-0000-0000-0000-000000000000};;;;POINT (4936922,921700895 2207058,4167154077)
1403794;"1540699";"083";"185";216,00000000;"154690100000000020017000000000";Privado;NPH;Habitacional;;;;;{DA949C89-228B-4F87-8882-B7E04A088A39};{00000000-0000-0000-0000-000000000000};;;;POINT (4936545,32765162 2207508,1798911253)
1337457;"1541326";"083";"16034";155,00000000;"154690100000000200004000000000";Privado;NPH;Habitacional;;;;;{E1DBAAD0-AC16-49B0-81E0-603922C1C6D8};{00000000-0000-0000-0000-000000000000};;;;POINT (4936888,377444038 2207563,930701079)
1403826;"1541329";"083";"10605";140,00000000;"154690100000000200007000000000";Privado;NPH;Habitacional;;;;;{3C9312A5-5F20-4A15-9975-9F025147B0C7};{00000000-0000-0000-0000-000000000000};;;;POINT (4936869,831186795 2207531,9043523218)
1272183;"1541349";"083";"13858";145,00000000;"154690100000000210001000000000";Privado;NPH;Habitacional;;;;;{C4983974-19D3-4E63-9B66-328740E7B64F};{00000000-0000-0000-0000-000000000000};;;;POINT (4936386,272136894 2207137,513405929)
1082605;"1541350";"083";"13225";112,00000000;"154690100000000210002000000000";Privado;NPH;Habitacional;;;;;{C7419E8A-083E-4A46-8DBC-B8A8F0859690};{00000000-0000-0000-0000-000000000000};;;;POINT (4936395,347102305 2207145,979147985)
1208188;"1541358";;"";158,00000000;"154690100000000210010000000000";Privado;NPH;Habitacional;;;;;{E3BCEC3D-4616-4D63-AB62-6E410EF028CC};{00000000-0000-0000-0000-000000000000};;;;POINT (4936452,3912083935 2207178,6352635147)
1082627;"1541972";"083";"20470";546,00000000;"154690100000000380012000000000";Privado;NPH;Habitacional;;;;;{18F7C94E-8B2E-440F-8B16-3B98AD162451};{00000000-0000-0000-0000-000000000000};;;;POINT (4937319,386233769 2207522,615090859)
1143607;"1542575";"083";"33499";113,00000000;"154690100000000570011000000000";Privado;NPH;Habitacional;;;;;{FDDE3233-1A09-41F5-A86D-1229E34F1D3B};{00000000-0000-0000-0000-000000000000};;;;POINT (4936318,58499036 2206190,299018198)
1143608;"1542582";"083";"14936";495,00000000;"154690100000000580007000000000";Privado;NPH;Habitacional;;;;;{39605F29-F6FD-4DE7-B955-3CD3938FD179};{00000000-0000-0000-0000-000000000000};;;;POINT (4936556,840976831 2207386,473656249)
1052559;"1544447";"083";"27331";103,00000000;"154690100000001520004000000000";Privado;NPH;Habitacional;;;;;{05DBFEAB-65C1-4638-89AD-35C508F793A8};{00000000-0000-0000-0000-000000000000};;;;POINT (4936950,362490474 2207049,504155346)
1082751;"1544460";"083";"32355";70,00000000;"154690100000001530007000000000";Privado;NPH;Habitacional;;;;;{BDBF07D7-E130-43A1-8F47-0BB483F407D6};{00000000-0000-0000-0000-000000000000};;;;POINT (4936787,855981726 2206682,216126739)
1111004;"1544464";"083";"39140";143,00000000;"154690100000001530011000000000";Privado;NPH;Habitacional;;;;;{182CCE49-BF54-4F02-92A6-CA6CBE4A7E05};{00000000-0000-0000-0000-000000000000};;;;POINT (4936778,332979154 2206644,519215771)
1175417;"1544468";"083";"28448";890,00000000;"154690100000001540801800000005";Privado;Condominio_Unidad_Predial;Recreacional;;;;;{1240EEDD-511B-4D07-9059-A16FC3C8CC32};{00000000-0000-0000-0000-000000000000};;;;POINT (4935593,055629607 2207745,8007571273)
1143725;"1544469";"083";"28447";865,00000000;"154690100000001540801800000006";Privado;Condominio_Unidad_Predial;Recreacional;;;;;{EDFCD7F9-E36D-4BA3-815A-F21C8AF412BC};{00000000-0000-0000-0000-000000000000};;;;POINT (4935619,890058388 2207765,101692033)
