"uso_id","uso_nombre","tipo_uso","destino_economico","calificacion_anexo_id","calificacion_anexo_descripcion","cantidad"
28,COMERCIO,CONVENCIONAL,COMERCIAL,15.00000000,"Estructura en ladrillo; cubierta de zinc, eternit, o teja de barro; con muros o sin muros; pisos en tierra; conservación regular a mala.",1
28,COMERCIO,CONVENCIONAL,COMERCIAL,33.00000000,"Estructura en bloque o ladrillo cubierta en zinc, teja de barro o paja; estado de conservación general bueno.",1
28,COMERCIO,CONVENCIONAL,COMERCIAL,,,11641
29,IGLESIA,CONVENCIONAL,COMERCIAL,,,549
31,HOTELES,CONVENCIONAL,COMERCIAL,3.00000000,"Estructura en madera fina; cubierta de zinc, eternit o teja de barro pisos de cemento; conservación general buena o regular.    ",1
31,HOTELES,CONVENCIONAL,COMERCIAL,,,314
33,CLUBES - CASINOS,CONVENCIONAL,COMERCIAL,33.00000000,"Estructura en bloque o ladrillo cubierta en zinc, teja de barro o paja; estado de conservación general bueno.",1
33,CLUBES - CASINOS,CONVENCIONAL,COMERCIAL,,,95
34,OFICINAS - CONSULTORIOS,CONVENCIONAL,COMERCIAL,3.00000000,"Estructura en madera fina; cubierta de zinc, eternit o teja de barro pisos de cemento; conservación general buena o regular.    ",1
34,OFICINAS - CONSULTORIOS,CONVENCIONAL,COMERCIAL,4.00000000,"Estructura en madera común; cubierta de zinc, eternit o teja de barro; pisos en tierra; conservación regular o mala",1
34,OFICINAS - CONSULTORIOS,CONVENCIONAL,COMERCIAL,26.00000000,Tanques con altura menor a 3 metros o poca profundidad; estructura en ladrillo conservación regular a mala.,1
34,OFICINAS - CONSULTORIOS,CONVENCIONAL,COMERCIAL,,,1938
35,APARTAMENTOS MAS DE 4 PISOS,CONVENCIONAL,RESIDENCIAL,,,720
36,RESTAURANTES,CONVENCIONAL,COMERCIAL,3.00000000,"Estructura en madera fina; cubierta de zinc, eternit o teja de barro pisos de cemento; conservación general buena o regular.    ",1
36,RESTAURANTES,CONVENCIONAL,COMERCIAL,,,595
37,PENSIONES Y RESIDENCIAS,CONVENCIONAL,COMERCIAL,,,282
38,PUESTOS DE SALUD,CONVENCIONAL,COMERCIAL,,,206
39,PARQUEADEROS,CONVENCIONAL,COMERCIAL,4.00000000,"Estructura en madera común; cubierta de zinc, eternit o teja de barro; pisos en tierra; conservación regular o mala",1
39,PARQUEADEROS,CONVENCIONAL,COMERCIAL,,,178
40,BARRACAS,CONVENCIONAL,RESIDENCIAL,,,65
41,TEATRO - CINEMAS,CONVENCIONAL,COMERCIAL,,,30
42,AULAS DE CLASES,CONVENCIONAL,COMERCIAL,,,984
43,COLISEOS,CONVENCIONAL,COMERCIAL,,,45
44,CASAS DE CULTO,CONVENCIONAL,COMERCIAL,,,488
45,TALLERES,CONVENCIONAL,INDUSTRIAL,,,533
46,JARDIN INFANTIL EN CASA,CONVENCIONAL,COMERCIAL,,,129
47,TORRES DE ENFRIAMIENTO,NO CONVENCIONAL,ANEXO,,,1
49,ESTACION DE BOMBEO,NO CONVENCIONAL,COMERCIAL,2.00000000,"Estructura metálica; cubierta de zinc, eternit o teja de barro pisos de cemento; conservación general buena a regular.",1
49,ESTACION DE BOMBEO,NO CONVENCIONAL,COMERCIAL,,,12
50,ESTADIOS - PLAZA DE TOROS,NO CONVENCIONAL,COMERCIAL,,,14
51,CARCELES,CONVENCIONAL,COMERCIAL,,,21
52,PARQUE CEMENTERIOS,CONVENCIONAL,COMERCIAL,,,6
53,VIVIENDA COLONIAL,CONVENCIONAL,RESIDENCIAL,,,3
54,COMERCIO COLONIAL,CONVENCIONAL,COMERCIAL,,,2
55,OFICINAS - CONSULTORIOS COLONIALES,CONVENCIONAL,COMERCIAL,,,4
56,APARTAMENTOS EN EDIFICIO DE 4 Y 5 PISOS (CARTAGENA),CONVENCIONAL,RESIDENCIAL,,,3854
58,CENTROS COMERCIALES,CONVENCIONAL,COMERCIAL,,,2
60,CANCHAS DE TENIS,NO CONVENCIONAL,ANEXO,47.00000000,En polvo de ladrillo,23
60,CANCHAS DE TENIS,NO CONVENCIONAL,ANEXO,48.00000000,Cemento y/o asfalto,39
60,CANCHAS DE TENIS,NO CONVENCIONAL,ANEXO,,,3
62,TOBOGANES,NO CONVENCIONAL,ANEXO,49.00000000,"Altura entre 9 y 15 Mts., longitud de canal entre 75 y 120 Mts.  Fibra de vidrio.  Estructura de concreto o metálica.  Incluye piscina de llegada. Sistema de bombeo, purificación.",1
62,TOBOGANES,NO CONVENCIONAL,ANEXO,50.00000000,"Altura entre 3 y 9 Mts., longitud 25  a 75 Mts.  Estructura y soportes en concreto o metálica.  Incluye piscina de acceso y sistema de bombeo y purificación.    ",4
63,VIVIENDA RECREACIONAL,CONVENCIONAL,RESIDENCIAL,21.00000000,"Piscinas de tamaña mediano, enchape en azulejo, sistema  de purificación rudimentario, comunes en fincas de recreo  o centros de recreación",1
63,VIVIENDA RECREACIONAL,CONVENCIONAL,RESIDENCIAL,,,1811
70,VIVIENDA HASTA 3 PISOS EN PH,CONVENCIONAL,RESIDENCIAL,,,7652
71,APARTAMENTOS 4 Y MÁS PISOS EN PH,CONVENCIONAL,RESIDENCIAL,,,7994
72,VIVIENDA RECREACIONAL EN PH,CONVENCIONAL,RESIDENCIAL,,,120
73,BODEGAS CASA BOMBA EN PH,CONVENCIONAL,INDUSTRIAL,,,981
74,BODEGAS COMERCIALES EN PH,CONVENCIONAL,COMERCIAL,,,59
75,COMERCIO EN PH,CONVENCIONAL,COMERCIAL,,,2338
76,CENTROS COMERCIALES EN PH,CONVENCIONAL,COMERCIAL,,,146
77,OFICINAS CONSULTORIOS EN PH,CONVENCIONAL,COMERCIAL,,,872
78,PARQUEADEROS EN PH,CONVENCIONAL,COMERCIAL,,,3460
79,GARAJES EN PH,CONVENCIONAL,RESIDENCIAL,,,1006
80,INDUSTRIAS EN PH,CONVENCIONAL,INDUSTRIAL,,,7
82,MARQUESINAS - PATIOS CUBIERTOS,NO CONVENCIONAL,ANEXO,2.00000000,"Estructura metálica; cubierta de zinc, eternit o teja de barro pisos de cemento; conservación general buena a regular.",2
82,MARQUESINAS - PATIOS CUBIERTOS,NO CONVENCIONAL,ANEXO,3.00000000,"Estructura en madera fina; cubierta de zinc, eternit o teja de barro pisos de cemento; conservación general buena o regular.    ",3
82,MARQUESINAS - PATIOS CUBIERTOS,NO CONVENCIONAL,ANEXO,4.00000000,"Estructura en madera común; cubierta de zinc, eternit o teja de barro; pisos en tierra; conservación regular o mala",3
82,MARQUESINAS - PATIOS CUBIERTOS,NO CONVENCIONAL,ANEXO,53.00000000,Estructura metálica; cubierta cristalita o vidrio; piso en baldosa fina.,143
82,MARQUESINAS - PATIOS CUBIERTOS,NO CONVENCIONAL,ANEXO,54.00000000,Estructura metálica; cubierta cristalita o vidrio; piso en baldosa común,3969
82,MARQUESINAS - PATIOS CUBIERTOS,NO CONVENCIONAL,ANEXO,55.00000000,Estructura metálica; cubierta de eternit y piso en cemento,3519
82,MARQUESINAS - PATIOS CUBIERTOS,NO CONVENCIONAL,ANEXO,56.00000000,Estructura madera; cubierta de zinc o eternit; piso en baldosín o cemento,156
82,MARQUESINAS - PATIOS CUBIERTOS,NO CONVENCIONAL,ANEXO,,,2
85,CARRETERA,NO CONVENCIONAL,ANEXO,70.00000000,"Zona dura - adoquín enmarcado en concreto sobre cama de arena con base flexible de zahorra natural, de 20 cm de espesor, con extendido y compactado al 100% del Proctor Modificado. Incluye costo de la base.",2
86,TEATRO - CINEMAS EN PH,CONVENCIONAL,COMERCIAL,,,2
88,RESTAURANTES EN PH,CONVENCIONAL,COMERCIAL,,,8
89,HOTEL COLONIAL,CONVENCIONAL,COMERCIAL,,,1
99,"CIMIENTOS, ESTRUCTURA, MUROS Y PLACA BASE 
Centros Comerciales En Ph (Lorenzo-Pasto)",NO CONVENCIONAL,COMERCIAL,66.00000000,Cimientos y estructura soportes verticales(columnas) y horizontales(vigas) destinados a sostener la totalidad o parte de una futura construcción o edificación acompañados de muros y placas base.,38
99,"CIMIENTOS, ESTRUCTURA, MUROS Y PLACA BASE 
Centros Comerciales En Ph (Lorenzo-Pasto)",NO CONVENCIONAL,COMERCIAL,67.00000000,Cimentación y estructura con soportes verticales(columnas) y horizontales(vigas) destinados a sostener la totalidad o parte de una futura construcción o edificación acompañados de muros o placas base.,40
99,"CIMIENTOS, ESTRUCTURA, MUROS Y PLACA BASE 
Centros Comerciales En Ph (Lorenzo-Pasto)",NO CONVENCIONAL,COMERCIAL,68.00000000,Cimentación sin estructura destinada a sostener la totalidad o parte de una futura construcción o edificación acompañados de muros o placas base.,23
99,"CIMIENTOS, ESTRUCTURA, MUROS Y PLACA BASE 
Centros Comerciales En Ph (Lorenzo-Pasto)",NO CONVENCIONAL,COMERCIAL,69.00000000,Cimentación sin estructura destinada a sostener la totalidad o parte de una futura construcción o edificación.,25
99,"CIMIENTOS, ESTRUCTURA, MUROS Y PLACA BASE 
Centros Comerciales En Ph (Lorenzo-Pasto)",NO CONVENCIONAL,COMERCIAL,,,158
