"objectid";"id_operacion";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"área registral m2";"coeficiente";"área coefieciente";"field15"
1642102;L5_510;510;510;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-477294";;"088320003000000010557000000000";Desenglobe_Division_Material;"040-525383";Privado_Privado;NPH;"450.5";;;
1642103;L5_521;521;521;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-477728";;"088320003000000010076000000000";Desenglobe_Division_Material;"040-635683";Privado_Privado;NPH;"74074";;;
1642104;L5_520;520;520;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-477728";;"088320003000000010076000000000";Desenglobe_Division_Material;"040-635685";Privado_Privado;NPH;"11653.5";;;
1642105;L5_519;519;519;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-477728";;"088320003000000010076000000000";Desenglobe_Division_Material;"040-635684";Privado_Privado;NPH;"254272.5";;;
1642106;L5_515;515;515;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-481733";;"088320003000000011231000000000";Desenglobe_Division_Material;"040-542022";Privado_Privado;NPH;"770";;;
1642107;L5_516;516;516;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-481733";;"088320003000000011231000000000";Desenglobe_Division_Material;"040-542021";Privado_Privado;NPH;"1000";;;
1642108;L5_517;517;517;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-481733";;"088320003000000011231000000000";Desenglobe_Division_Material;"040-542027";Privado_Privado;NPH;"828";;;
1642109;L5_511;511;511;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-481733";;"088320003000000011231000000000";Desenglobe_Division_Material;"040-542026";Privado_Privado;NPH;"1189";;;
1642110;L5_512;512;512;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-481733";;"088320003000000011231000000000";Desenglobe_Division_Material;"040-542025";Privado_Privado;NPH;"527";;;
1642111;L5_513;513;513;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-481733";;"088320003000000011231000000000";Desenglobe_Division_Material;"040-542024";Privado_Privado;NPH;"700";;;
1642112;L5_514;514;514;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-481733";;"088320003000000011231000000000";Desenglobe_Division_Material;"040-542023";Privado_Privado;NPH;"720";;;
1642113;L5_497;497;497;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-498846";;"088320003000000011343000000000";Desenglobe_Division_Material;"040-632978";Privado_Privado;PH_Unidad_Predial;;;;
1642114;L5_500;500;500;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-498846";;"088320003000000011343000000000";Desenglobe_Division_Material;"040-632980";Privado_Privado;PH_Unidad_Predial;;;;
1642115;L5_499;499;499;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-498846";;"088320003000000011343000000000";Desenglobe_Division_Material;"040-632981";Privado_Privado;PH_Unidad_Predial;;;;
1642116;L5_498;498;498;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-498846";;"088320003000000011343000000000";Desenglobe_Division_Material;"040-632979";Privado_Privado;PH_Unidad_Predial;;;;
1642117;L5_537;537;537;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-593565";;"088320400000000880002000000000";Desenglobe_Division_Material;"040-598316";Privado_Privado;NPH;"435";;;
1642118;L5_536;536;536;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-593565";;"088320400000000880002000000000";Desenglobe_Division_Material;"040-598317";Privado_Privado;NPH;"435";;;
1642119;L5_535;535;535;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-593565";;"088320400000000880002000000000";Desenglobe_Division_Material;"040-598318";Privado_Privado;NPH;"435";;;
1642120;L5_524;524;524;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-625172";;"088320400000003160004000000000";Desenglobe_Division_Material;"040-670307";Privado_Privado;PH_Unidad_Predial;"66.5";0.25379999999999997;"66.5";
1642121;L5_526;526;526;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-625172";;"088320400000003160004000000000";Desenglobe_Division_Material;"040-670306";Privado_Privado;PH_Unidad_Predial;"43.5";0.166;"43.5";
1642122;L5_525;525;525;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-625172";;"088320400000003160004000000000";Desenglobe_Division_Material;"040-670309";Privado_Privado;PH_Unidad_Predial;"40";0.1527;"40";
1642123;L5_527;527;527;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-625172";;"088320400000003160004000000000";Desenglobe_Division_Material;"040-670310";Privado_Privado;PH_Unidad_Predial;"40";0.1527;"40";
1642124;L5_528;528;528;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-625172";;"088320400000003160004000000000";Desenglobe_Division_Material;"040-670308";Privado_Privado;PH_Unidad_Predial;"72";0.2748;"72";
1642125;L5_623;623;623;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639512";Privado_Privado;NPH;"771.91";;;
1642126;L5_622;622;622;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639513";Privado_Privado;NPH;"960.97";;;
1642127;L5_621;621;621;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639514";Privado_Privado;NPH;"1229.07";;;
1642128;L5_620;620;620;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639515";Privado_Privado;NPH;"1281.7";;;
1642129;L5_619;619;619;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639516";Privado_Privado;NPH;"921.67";;;
1642130;L5_618;618;618;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639518";Privado_Privado;NPH;"784.91";;;
1642131;L5_617;617;617;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639527";Privado_Privado;NPH;"861.21";;;
1642132;L5_616;616;616;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639526";Privado_Privado;NPH;"749.39";;;
1642133;L5_615;615;615;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639529";Privado_Privado;NPH;"896.25";;;
