"left";"tipo_tipologia";"count"
"63401";Residencial_Tipo_5_1021125;51
"23350";Institucional_Tipo_3_5021143;5
"15759";Comercial_Especializado_2_2036543;979
"25295";ED_Multifamiliar_VIS_Hasta_12_Pisos_9016194;1340
"15861";Comercial_Intermedio_1_2021132;9
"25183";Institucional_Salud_1_7011121;1
"68673";Institucional_Tipo_1_5014111;9
"68573";Institucional_Tipo_3_5021143;1
"66045";Industrial_Liviana_2_3001121;90
"68573";Institucional_Tipo_1_5014111;16
"63401";Residencial_Tipo_6_1031126;2
"23350";Residencial_Tipo_4_menos_1024114;2
"15299";Comercial_Especializado_2_2036543;33
"68179";Residencial_Tipo_1_1014011;456
"15325";Residencial_Tipo_1_1014011;741
"15879";Comercial_Basico_2_2014111;1
"15842";Institucional_Salud_2_7021132;2
"15764";Residencial_Tipo_3_mas_1011133;75
"15189";Comercial_Intermedio_3_2026532;6
"25183";Residencial_Tipo_5_menos_1011115;185
"66687";Industrial_Mediana_1_3011132;50
"23570";Industrial_Liviana_2_3001121;45
"68179";Institucional_Salud_2_7021132;3
"15816";Residencial_Tipo_1_1014011;361
"66687";Comercial_Basico_2_2014111;2
"15804";Institucional_Tipo_2_5011122;12
"15686";Residencial_Tipo_4_menos_1024114;24
"13430";Comercial_Basico_2_2014111;3
"15804";Residencial_Tipo_3_mas_1011133;140
"15469";Residencial_Tipo_4_menos_1024114;144
"68673";Institucional_Tipo_2_5011122;9
"25001";Residencial_Tipo_4_1021134;475
"23675";Residencial_Tipo_3_menos_1004113;583
"23570";Residencial_Tipo_2_1004122;1927
"15861";Residencial_Tipo_5_menos_1011115;22
"15599";Institucional_Tipo_1_5014111;3
"15879";Residencial_Tipo_0_1002311;3
"66687";Residencial_Tipo_4_1021134;369
"15599";Institucional_Tipo_6_5011111;14
"68573";Comercial_Intermedio_1_2021132;20
"15599";Institucional_Tipo_7_5021132;2
"13430";Institucional_Salud_3_7031173;9
"15664";Residencial_Tipo_1_1014011;264
"25001";Institucional_Salud_1_7011121;1
"25001";Comercial_Intermedio_3_2026532;19
"15798";Residencial_Tipo_5_menos_1011115;6
"66318";Institucional_Tipo_1_5014111;11
"15798";Institucional_Religioso_Tipo_1_6021131;1
"50313";Institucional_Tipo_2_5011122;48
"68101";Institucional_Tipo_5_Prefabricado_5015510;12
"13430";ED_Multifamiliar_Vivienda_VIS_Serie_2_Pisos_9011122;21
"63401";Residencial_Tipo_0_1002311;8
"66045";ED_Servicios_Tipo_1_9026547;8
"23350";Comercial_Intermedio_1_2021132;2
"66383";Residencial_Tipo_3_menos_1004113;446
"25295";Institucional_Salud_3_7031173;1
"66383";Industrial_Liviana_2_3001121;13
"68861";ED_Multifamiliar_Vivienda_VIS_Serie_2_Pisos_9011122;1
"68861";Residencial_Tipo_0_1002311;1
"13430";ED_Servicios_Tipo_1_9026547;55
"25772";Institucional_Tipo_7_5021132;2
"15325";Comercial_Intermedio_2_2021532;32
"15759";Comercial_Intermedio_3_2026532;1266
"63401";Comercial_Intermedio_3_2026532;87
"50313";Industrial_Pesada_1_3023132;80
"15764";Institucional_Tipo_3_5021143;3
"25001";Institucional_Religioso_Tipo_2_6031132;3
"15664";Comercial_Intermedio_2_2021532;26
"15835";Residencial_Tipo_5_menos_1011115;14
"23675";Residencial_Tipo_0_1002311;216
"23570";Residencial_Tipo_5_menos_1011115;3
"15759";Industrial_Liviana_2_3001121;339
"15764";Residencial_Tipo_4_menos_1024114;6
"15861";Institucional_Tipo_3_5021143;5
"15861";Comercial_Especializado_1_2023123;36
"15879";Institucional_Religioso_Tipo_1_6021131;2
"70124";Residencial_Tipo_3_mas_1011133;13
"23675";Residencial_Tipo_2_1004122;2192
"15816";Residencial_Tipo_4_1021134;34
"66045";Institucional_Tipo_5_Prefabricado_5015510;2
"66687";Residencial_Tipo_5_menos_1011115;49
"13430";Institucional_Tipo_1_5014111;214
"66383";Institucional_Tipo_6_5011111;16
"68861";Residencial_Tipo_5_1021125;3
"25183";Institucional_Tipo_2_5011122;24
"15759";Residencial_Tipo_2_1004122;4003
"13430";Residencial_Tipo_2_1004122;12388
"25001";Residencial_Tipo_3_mas_1011133;835
"68861";Industrial_Pesada_2_3033443;1
"15469";Industrial_Liviana_1_3002311;3
"25295";Residencial_Tipo_5_mas_1031135;3
"68861";Residencial_Tipo_4_menos_1024114;76
"25183";Residencial_Tipo_5_1021125;60
"15816";Comercial_Intermedio_2_2021532;15
"25772";Comercial_Intermedio_1_2021132;15
"15798";Comercial_Intermedio_2_2021532;30
"23570";Comercial_Basico_2_2014111;2
"15835";Industrial_Pesada_1_3023132;5
"08832";Industrial_Pesada_1_3023132;3
"13836";Institucional_Tipo_3_5021143;61
"15293";Residencial_Tipo_3_mas_1011133;6
"68745";Institucional_Religioso_Tipo_1_6021131;4
"66318";Institucional_Tipo_7_5021132;3
"25772";Institucional_Salud_3_7031173;3
"15380";Institucional_Tipo_3_5021143;2
"15469";ED_Servicios_Tipo_1_9026547;5
"25001";Residencial_Tipo_0_1002311;11
"25183";Residencial_Tipo_3_mas_1011133;615
"66687";Institucional_Tipo_6_5011111;15
"66383";Residencial_Tipo_1_1014011;376
"15861";Residencial_Tipo_1_1014011;650
"25183";Residencial_Tipo_5_mas_1031135;48
"68573";Institucional_Salud_2_7021132;3
"15325";Residencial_Tipo_5_mas_1031135;1
"25183";Residencial_Tipo_1_1014011;667
"15469";Industrial_Pesada_1_3023132;10
"66383";Institucional_Salud_2_7021132;2
"15469";Institucional_Tipo_1_5014111;10
"68861";Institucional_Salud_2_7021132;4
"25295";Residencial_Tipo_5_menos_1011115;40
"25001";Comercial_Intermedio_2_2021532;90
"23079";Industrial_Liviana_2_3001121;54
