folio_derivados;codificion_predio
297-8715;NPH
297-8697;
095-25865;NPH
095-161519;NPH
090-30504;NPH
095-158069;
090-63410;NPH
095-121198;NPH
090-62173;NPH
078-15573;
297-8721;NPH
095-107283;NPH
297-3983;NPH
095-126250;NPH
095-56520;NPH
297-8695;
090-3708;
297-2582;NPH
280-135854;NPH
297-6192;NPH
090-64250;
297-8708;
079-46396;NPH
090-28215;
090-62537;NPH
090-27302;
090-28210;NPH
095-83764;
095-9828;
297-8733;
090-35999;
095-121198;
095-137090;NPH
297-2841;
297-8732;
297-1549;
040-311863;
090-10986;
090-21387;
078-38735;
297-8749;
079-18635;
095-161293;NPH
297-8594;NPH
095-32680;
095-126253;
090-22564;
297-8745;NPH
297-8742;NPH
095-107283;
040-248400;
078-38899;
297-8717;NPH
095-137091;
079-11193;NPH
292-9259;NPH
095-34563;NPH
060-343413;
297-6191;NPH
095-86484;
090-3708;NPH
297-8723;NPH
297-8698;
297-8711;
297-8730;
095-85041;
079-6705;
297-8704;NPH
095-34857;
078-38728;
090-27302;NPH
095-158071;NPH
297-8745;
090-27249;
297-8709;NPH
090-27067;
280-250328;NPH
297-8722;NPH
297-6192;
090-22563;NPH
090-30504;
297-8744;
297-8694;NPH
095-56522;
297-6191;
078-40892;
095-57742;
060-343411;NPH
280-61505;NPH
297-8724;NPH
095-126251;
297-1143;
297-8719;NPH
297-8702;NPH
095-100006;
095-123996;NPH
095-126254 ;NPH
095-158068;
297-8724;
078-38735;NPH
078-38727;
095-107507;NPH
090-6994;NPH
297-8704;
095-121212;NPH
297-8716;NPH
090-2962;NPH
095-158068;NPH
297-8701;NPH
297-8699;NPH
079-11369;NPH
090-24190;NPH
297-8706;
078-15573;NPH
297-8714;
090-64250;NPH
297-8746;
297-8736;
095-161293;
280-13351;NPH
297-8736;NPH
079-46397;
095-158070;
280-36891;NPH
346-11535;NPH
297-8748;
297-8721;
297-8689;
297-8707;
095-137090;
095-121212;
297-8734;NPH
078-38726;NPH
090-24762;
090-63448;
095-85040;
297-5075;NPH
297-8744;NPH
090-18330;NPH
079-6705;NPH
280-51947;NPH
297-8707;NPH
095-126252;
095-162919;
090-17092;NPH
090-11453;NPH
079-11193;
078-38733;NPH
095-57743;
079-13586;
297-8693;NPH
297-8740;NPH
095-57743;NPH
095-56521;NPH
090-6987;
060-26769;
