id;no, fmi;dirección territorial;municipio;fecha_envio_juridico;folio_matriz;novedadfmi_tipo;npnmatriz;novedad_numero_predial;folio_derivados;predio tipo;condicion prop derivado;árearegistralm2;coeficiente;área coefieciente;id_operacion_db
12930;12930;BOYACÁ;SOGAMOSO;30/05/2025;095-164663;;SIN NPN;Desenglobe_Division_Material;095-167508;Privado_Privado;PH_Unidad_Predial;;;;L2-6131
2780;2780;BOLÍVAR;TURBACO;4/07/2025;060-26770;;1,3836E+29;Desenglobe_Division_Material;060-349509;Privado_Privado;NPH;366.78;;;1097944-1346
2105;2105;BOLÍVAR;TURBACO;23/05/2025;060-346092;;SIN NPN;Desenglobe_Division_Material;060-347006;Privado_Privado;NPH;;;;L2-3095
10763;10763;QUINDIO;LA TEBAIDA;22/08/2025;280-2736;FMI_Debe_Estar_Cerrado;6,3401E+29;Desenglobe_Division_Material;280-261301;Privado_Privado;NPH;5674,75;;;6028480-13076
130;130;ATLÁNTICO;TUBARÁ;11/07/2025;040-605697;;8,832E+28;Desenglobe_Division_Material;040-658068;Privado_Privado;Condominio_Unidad_Predial;;;;13973179-333
7683;7683;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-78954;Privado_Privado;NPH;;;;13401270-10133
7866;7866;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-79136;Privado_Privado;NPH;;;;13401270-11166
5073;5073;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-76354;Privado_Privado;NPH;;;;13401270-10925
3506;3506;BOLÍVAR;TURBACO;25/07/2025;060-316930;;1,3836E+29;Desenglobe_Division_Material;060-337989;Privado_Privado;PH_Unidad_Predial; 4,80;1,36E+14;;13282454-2293
12195;12195;BOYACÁ;MONIQUIRÁ;30/05/2025;083-5710;;1,5469E+29;Cambio_Numero_Predial_NPH_a_PH;083-5710;Privado_Privado;PH_Matriz;217;;;1541324
374;374;ATLÁNTICO;TUBARÁ;6/06/2025;040-74607;;8,832E+28;Desenglobe_Division_Material;040-640681;Privado_Privado;NPH;;;;603094-547
14271;14271;BOYACÁ;SOGAMOSO;22/08/2025;095-162359;;SIN NPN;Desenglobe_Division_Material;095-162858;Privado_Privado;PH_Unidad_Predial;58.32;0.46500000000000002;58.32;L2-5877
6911;6911;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-78185;Privado_Privado;NPH;;;;13401270-9778
9028;9028;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-80287;Privado_Privado;NPH;;;;13401270-8391
3685;3685;BOLÍVAR;TURBACO;26/05/2025;060-340194;;SIN NPN;Desenglobe_Division_Material;060-370518;Privado_Privado;NPH;;;;L2-2551
9513;9513;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-80771;Privado_Privado;NPH;;;;13401270-10537
4740;4740;META;GRANADA;20/06/2025;236-19640;;5,0313E+29;Desenglobe_Division_Material;236-88275;Privado_Privado;PH_Unidad_Predial;;;;4752584-7224
11364;11364;BOYACÁ;CIÉNEGA;30/05/2025;090-38301;;1,5189E+29;Desenglobe_Venta_Parcial;090-63521;Privado_Privado;NPH;;;;1320563-394
14389;14389;BOYACÁ;SOGAMOSO;22/08/2025;095-48288;;1,5759E+29;Desenglobe_Division_Material;095-167890;Privado_Privado;PH_Unidad_Predial;11.5;1.77;11.5;1804133-6473
114;114;ATLÁNTICO;TUBARÁ;11/07/2025;040-605697;;8,832E+28;Desenglobe_Division_Material;040-658052;Privado_Privado;Condominio_Unidad_Predial;;;;13973179-363
9770;9770;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-81028;Privado_Privado;NPH;;;;13401270-10634
14687;14687;BOYACÁ;SOGAMOSO;22/08/2025;095-81592;;"	15590102000005640007000000000";Cancelacion_por_Desenglobe;;;;;;;13524391
2311;2311;BOLÍVAR;TURBACO;23/05/2025;060-346092;;SIN NPN;Desenglobe_Division_Material;060-346623;Privado_Privado;NPH;;;;L2-3260
2914;2914;BOLÍVAR;TURBACO;4/07/2025;060-26770;;1,3836E+29;Desenglobe_Division_Material;060-349643;Privado_Privado;NPH;326.87;;;1097944-1366
4417;4417;META;GRANADA;20/06/2025;236-19640;;5,0313E+29;Desenglobe_Division_Material;236-71414;Privado_Privado;PH_Unidad_Predial;;;;4752584-7125
2015;2015;BOLÍVAR;TURBACO;23/05/2025;060-346092;;SIN NPN;Desenglobe_Division_Material;060-346916;Privado_Privado;NPH;;;;L2-2850
7890;7890;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-7916;Privado_Privado;NPH;;;;13401270-7935
4350;4350;META;GRANADA;4/07/2025;236-1428;;5,0313E+29;Desenglobe_Division_Material;236-100626;Publico_Uso_Publico;Bien_Uso_Publico;269.5;;;4752593-6740
2581;2581;BOLÍVAR;TURBACO;4/07/2025;060-26770;;1,3836E+29;Desenglobe_Division_Material;060-349811;Privado_Privado;NPH;285.7;;;1097944-1342
8527;8527;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-79792;Privado_Privado;NPH;;;;13401270-9699
5257;5257;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-76536;Privado_Privado;NPH;;;;13401270-9974
3712;3712;BOLÍVAR;TURBACO;26/05/2025;060-340194;;SIN NPN;Desenglobe_Division_Material;060-370438;Privado_Privado;NPH;;;;L2-2560
13954;13954;BOYACÁ;SOGAMOSO;22/08/2025;095-158224;;1,5759E+29;Desenglobe_Division_Material;095-165922;Privado_Privado;PH_Unidad_Predial;54.96;0.20830000000000001;54.96;14142767-5338
7903;7903;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-79172;Privado_Privado;NPH;;;;13401270-9835
10744;10744;QUINDIO;LA TEBAIDA;28/05/2025;280-50855;;6,3401E+29;Desenglobe_Division_Material;280-244272;Privado_Privado;NPH;120420;;;6028705-13081
4904;4904;META;GRANADA;20/06/2025;236-42180;;5,0313E+29;Desenglobe_Division_Material;236-75633;Privado_Privado;NPH;;;;4753500-7368
10728;10728;QUINDIO;LA TEBAIDA;28/05/2025;280-246981;;SIN NPN;Cambio_Numero_Predial_NPH_a_PH;280-246981;Privado_Privado;Condominio_Unidad_Predial;10014;2,956;;L2-13068
1984;1984;BOLÍVAR;TURBACO;23/05/2025;060-346092;;SIN NPN;Desenglobe_Division_Material;060-346885;Privado_Privado;NPH;;;;L2-3118
12515;12515;BOYACÁ;RAMIRIQUÍ;30/05/2025;090-49496;;1,5599E+29;Desenglobe_Venta_Parcial;090-63410;Privado_Privado;NPH;8453;;;1647467-499
12652;12652;BOYACÁ;SOGAMOSO;30/05/2025;095-39051;;1,5759E+29;Desenglobe_Division_Material;095-159703;Privado_Privado;PH_Unidad_Predial;;;;1795610-6444
8305;8305;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-79570;Privado_Privado;NPH;;;;13401270-9075
12327;12327;BOYACÁ;RAMIRIQUÍ;30/05/2025;090-32043;;1,5599E+29;Desenglobe_Venta_Parcial;090-64068;Privado_Privado;NPH;;;;1648326-331
2792;2792;BOLÍVAR;TURBACO;4/07/2025;060-26770;;1,3836E+29;Desenglobe_Division_Material;060-349521;Privado_Privado;NPH;331.32;;;1097944-1352
3281;3281;BOLÍVAR;TURBACO;25/07/2025;060-316930;;1,3836E+29;Desenglobe_Division_Material;060-337803;Privado_Privado;PH_Unidad_Predial; 95,60;0.2722;;13282454-2209
206;206;ATLÁNTICO;TUBARÁ;29/05/2025;040-162599;;8,832E+28;Desenglobe_Division_Material;040-663769;Privado_Privado;NPH;;;;603476-165
9327;9327;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-80586;Privado_Privado;NPH;;;;13401270-11977
11183;11183;RISARALDA;SANTUARIO;6/06/2025;297-6831;;6,6687E+29;Desenglobe_Venta_Parcial;297-9646;Privado_Privado;NPH;65;;;9339917-690
12568;12568;BOYACÁ;RAMIRIQUÍ;30/05/2025;-;;SIN NPN;Predio_Nuevo;090-63401;Privado_Privado;NPH;;;;L2-101
4573;4573;META;GRANADA;20/06/2025;236-19640;;5,0313E+29;Desenglobe_Division_Material;236-71258;Privado_Privado;PH_Unidad_Predial;;;;4752584-7037
6604;6604;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-77879;Privado_Privado;NPH;;;;13401270-9798
8783;8783;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-80045;Privado_Privado;NPH;;;;13401270-9628
11480;11480;BOYACÁ;GARAGOA;6/06/2025;078-28022;;1,5299E+29;Desenglobe_Division_Material;078-43410;Privado_Privado;NPH;;;;1442690-4220
12840;12840;BOYACÁ;SOGAMOSO;30/05/2025;095-162277;;SIN NPN;Desenglobe_Division_Material;095-165107;Privado_Privado;NPH;;;;L2-5848
11640;11640;BOYACÁ;LA CAPILLA;6/06/2025;079-25546;;1,538E+29;Desenglobe_Division_Material;079-46341;Privado_Privado;NPH;133;;;1487604-4325
11202;11202;BOYACÁ;CIÉNEGA;30/05/2025;090-34323;;1,5189E+29;Desenglobe_Venta_Parcial;090-63724;Privado_Privado;NPH;;;;1322570-352
7506;7506;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-78777;Privado_Privado;NPH;;;;13401270-12067
442;442;ATLÁNTICO;TUBARÁ;18/07/2025;040-641177;;SIN NPN;Desenglobe_Division_Material;040-641194;Privado_Privado;NPH;;;;L2-536
4574;4574;META;GRANADA;20/06/2025;236-19640;;5,0313E+29;Desenglobe_Division_Material;236-71257;Privado_Privado;PH_Unidad_Predial;;;;4752584-6970
