"objectid";"id_operacion";"id";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"árearegistralm2";"coeficiente";"área coefieciente";"count"
1638051;"1815375R1362";1362;"095-113868";;"157590102000002900034000000000";Desenglobe_Division_Material;"095-156770";Privado_Privado;PH_Unidad_Predial;"47.29";13.65;47.29;1
1638054;"1815375R1361";1361;"095-113868";;"157590102000002900034000000000";Desenglobe_Division_Material;"095-156771";Privado_Privado;PH_Unidad_Predial;"40.7";11.75;40.7;1
1638055;"1815375R1360";1360;"095-113868";;"157590102000002900034000000000";Desenglobe_Division_Material;"095-156772";Privado_Privado;PH_Unidad_Predial;"41.06";11.85;41.06;1
1638056;"1815375R1359";1359;"095-113868";;"157590102000002900034000000000";Desenglobe_Division_Material;"095-156773";Privado_Privado;PH_Unidad_Predial;"40.7";11.75;40.7;1
1638057;"1815375R1358";1358;"095-113868";;"157590102000002900034000000000";Desenglobe_Division_Material;"095-156774";Privado_Privado;PH_Unidad_Predial;"41.06";11.85;41.06;1
1638050;"1815375R1357";1357;"095-113868";;"157590102000002900034000000000";Desenglobe_Division_Material;"095-156775";Privado_Privado;PH_Unidad_Predial;"40.65";11.74;40.65;1
1638052;"1815375R1356";1356;"095-113868";;"157590102000002900034000000000";Desenglobe_Division_Material;"095-156776";Privado_Privado;PH_Unidad_Predial;"41.37";11.95;41.37;1
1634925;"1774947-1085";1112;"095-158803";;SIN NPN;Cambio_Numero_Predial_NPH_a_PH;"095-158803";Privado_Privado;PH_Matriz;"16637";;;1
1634925;"1774947-1085";1083;"095-106516";FMI_Debe_Estar_Cerrado;"157590002000000052160000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
1634925;"1774947-1085";1092;"095-106524";FMI_Debe_Estar_Cerrado;"157590002000000052168000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
1634925;"1774947-1085";1077;"095-106510";FMI_Debe_Estar_Cerrado;"157590002000000052154000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
1634925;"1774947-1085";1076;"095-106509";FMI_Debe_Estar_Cerrado;"157590002000000052153000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
1634925;"1774947-1085";1086;"095-106519";FMI_Debe_Estar_Cerrado;"157590002000000052163000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
1634925;"1774947-1085";1080;"095-106513";FMI_Debe_Estar_Cerrado;"157590002000000052157000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
1634925;"1774947-1085";1085;"095-106518";FMI_Debe_Estar_Cerrado;"157590002000000052162000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
1634925;"1774947-1085";1088;"095-106521";FMI_Debe_Estar_Cerrado;"157590002000000052165000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
1634925;"1774947-1085";1087;"095-106520";FMI_Debe_Estar_Cerrado;"157590002000000052164000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
1634925;"1774947-1085";1090;"095-106523";FMI_Debe_Estar_Cerrado;"157590002000000052167000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
1634925;"1774947-1085";1081;"095-106514";FMI_Debe_Estar_Cerrado;"157590002000000052158000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
1634925;"1774947-1085";1084;"095-106517";FMI_Debe_Estar_Cerrado;"157590002000000052161000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
1634925;"1774947-1085";1075;"095-106508";FMI_Debe_Estar_Cerrado;"157590002000000052152000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
1634925;"1774947-1085";1091;"095-113776";FMI_Debe_Estar_Cerrado;"157590002000000052117000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
1634925;"1774947-1085";1074;"095-106507";FMI_Debe_Estar_Cerrado;"157590002000000050657000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
1634925;"1774947-1085";1082;"095-106515";FMI_Debe_Estar_Cerrado;"157590002000000052159000000000";Englobe_Nuevo_FMI;"095-158803";Privado_Privado;NPH;"16637";;;1
