"objectid";"id_operacion";"id";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"árearegistralm2";"coeficiente";"área coefieciente";"count"
1638346;"1798451R1381";1381;"095-48637";;"157590101000005110001000000000";Desenglobe_Division_Material;"095-161942";Privado_Privado;PH_Unidad_Predial;"59.9";12.02;59.9;1
1638353;"1798451R1382";1382;"095-48637";;"157590101000005110001000000000";Desenglobe_Division_Material;"095-161943";Privado_Privado;PH_Unidad_Predial;"67.13";14.17;67.13;1
1638354;"1794667R1433";1433;"095-5337";;"157590101000003940045000000000";Desenglobe_Division_Material;"095-162352";Publico_Uso_Publico;Bien_Uso_Publico;"27.61";;;1
1638356;"1794667R1434";1434;"095-5337";;"157590101000003940045000000000";Desenglobe_Division_Material;"095-162353";Publico_Uso_Publico;Bien_Uso_Publico;"845.4";;;1
1638355;"1794667R1435";1437;"095-162354";;SIN NPN;Cambio_Numero_Predial_NPH_a_PH;"095-162354";Privado_Privado;PH_Matriz;"2699.25";;;1
1638283;L3_R1437;1437;"095-162354";;SIN NPN;Cambio_Numero_Predial_NPH_a_PH;"095-162354";Privado_Privado;PH_Matriz;"2699.25";;;1
1638355;"1794667R1435";1435;"095-5337";;"157590101000003940045000000000";Desenglobe_Division_Material;"095-162354";Privado_Privado;NPH;"2699.25";;;1
1638283;L3_R1437;1435;"095-5337";;"157590101000003940045000000000";Desenglobe_Division_Material;"095-162354";Privado_Privado;NPH;"2699.25";;;1
1638189;"14616824R1416";1416;"095-159574";;"157590101000008880014000000000";Desenglobe_Division_Material;"095-162475";Privado_Privado;PH_Unidad_Predial;"35.85";19.71;35.85;1
1638187;"14616824R1414";1414;"095-159574";;"157590101000008880014000000000";Desenglobe_Division_Material;"095-162476";Privado_Privado;PH_Unidad_Predial;"37";16.27;37.0;1
1638188;"14616824R1415";1415;"095-159574";;"157590101000008880014000000000";Desenglobe_Division_Material;"095-162477";Privado_Privado;PH_Unidad_Predial;"68.75";30.23;68.75;1
