id_operacion;no, fmi;dirección territorial;municipio;fecha_envio_juridico;folio_matriz;novedadfmi_tipo;npnmatriz;novedad_numero_predial;folio_derivados;predio tipo;condicion prop derivado;área registral m2;coeficiente;área coefieciente;field15
L5_517;517;ATLÁNTICO;TUBARÁ;6/10/2025;040-481733;;8,832E+28;Desenglobe_Division_Material;040-542027;Privado_Privado;NPH;828;;;
L5_511;511;ATLÁNTICO;TUBARÁ;6/10/2025;040-481733;;8,832E+28;Desenglobe_Division_Material;040-542026;Privado_Privado;NPH;1189;;;
L5_512;512;ATLÁNTICO;TUBARÁ;6/10/2025;040-481733;;8,832E+28;Desenglobe_Division_Material;040-542025;Privado_Privado;NPH;527;;;
L5_513;513;ATLÁNTICO;TUBARÁ;6/10/2025;040-481733;;8,832E+28;Desenglobe_Division_Material;040-542024;Privado_Privado;NPH;700;;;
L5_514;514;ATLÁNTICO;TUBARÁ;6/10/2025;040-481733;;8,832E+28;Desenglobe_Division_Material;040-542023;Privado_Privado;NPH;720;;;
L5_497;497;ATLÁNTICO;TUBARÁ;6/10/2025;040-498846;;8,832E+28;Desenglobe_Division_Material;040-632978;Privado_Privado;PH_Unidad_Predial;;;;
L5_500;500;ATLÁNTICO;TUBARÁ;6/10/2025;040-498846;;8,832E+28;Desenglobe_Division_Material;040-632980;Privado_Privado;PH_Unidad_Predial;;;;
L5_499;499;ATLÁNTICO;TUBARÁ;6/10/2025;040-498846;;8,832E+28;Desenglobe_Division_Material;040-632981;Privado_Privado;PH_Unidad_Predial;;;;
L5_498;498;ATLÁNTICO;TUBARÁ;6/10/2025;040-498846;;8,832E+28;Desenglobe_Division_Material;040-632979;Privado_Privado;PH_Unidad_Predial;;;;
L5_537;537;ATLÁNTICO;TUBARÁ;6/10/2025;040-593565;;8,83204E+28;Desenglobe_Division_Material;040-598316;Privado_Privado;NPH;435;;;
L5_536;536;ATLÁNTICO;TUBARÁ;6/10/2025;040-593565;;8,83204E+28;Desenglobe_Division_Material;040-598317;Privado_Privado;NPH;435;;;
L5_535;535;ATLÁNTICO;TUBARÁ;6/10/2025;040-593565;;8,83204E+28;Desenglobe_Division_Material;040-598318;Privado_Privado;NPH;435;;;
L5_524;524;ATLÁNTICO;TUBARÁ;6/10/2025;040-625172;;8,83204E+28;Desenglobe_Division_Material;040-670307;Privado_Privado;PH_Unidad_Predial;66.5;0.25379999999999997;66.5;
L5_526;526;ATLÁNTICO;TUBARÁ;6/10/2025;040-625172;;8,83204E+28;Desenglobe_Division_Material;040-670306;Privado_Privado;PH_Unidad_Predial;43.5;0.166;43.5;
L5_525;525;ATLÁNTICO;TUBARÁ;6/10/2025;040-625172;;8,83204E+28;Desenglobe_Division_Material;040-670309;Privado_Privado;PH_Unidad_Predial;40;0.1527;40;
L5_527;527;ATLÁNTICO;TUBARÁ;6/10/2025;040-625172;;8,83204E+28;Desenglobe_Division_Material;040-670310;Privado_Privado;PH_Unidad_Predial;40;0.1527;40;
L5_528;528;ATLÁNTICO;TUBARÁ;6/10/2025;040-625172;;8,83204E+28;Desenglobe_Division_Material;040-670308;Privado_Privado;PH_Unidad_Predial;72;0.2748;72;
L5_623;623;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639512;Privado_Privado;NPH;771.91;;;
L5_622;622;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639513;Privado_Privado;NPH;960.97;;;
L5_621;621;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639514;Privado_Privado;NPH;1229.07;;;
L5_620;620;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639515;Privado_Privado;NPH;1281.7;;;
L5_619;619;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639516;Privado_Privado;NPH;921.67;;;
L5_618;618;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639518;Privado_Privado;NPH;784.91;;;
L5_617;617;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639527;Privado_Privado;NPH;861.21;;;
L5_616;616;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639526;Privado_Privado;NPH;749.39;;;
L5_615;615;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639529;Privado_Privado;NPH;896.25;;;
L5_614;614;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639535;Privado_Privado;NPH;63.782.000.000.000.000;;;
L5_613;613;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639536;Privado_Privado;NPH;700.47;;;
L5_612;612;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639578;Privado_Privado;NPH;630;;;
L5_611;611;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639537;Privado_Privado;NPH;775.57;;;
L5_610;610;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639538;Privado_Privado;NPH;630;;;
L5_609;609;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639528;Privado_Privado;NPH;795.44;;;
L5_608;608;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639534;Privado_Privado;NPH;911.92;;;
